search URL:,https://patents.google.com/?q=G06N5%252f022
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2023259771-A1,Automatic xai (autoxai) with evolutionary nas techniques and model discovery and refinement ,UMNAI Limited,"Angelo Dalli, Kristian D’AMATO, Mauro PIRRONE",2021-06-09,2023-04-05,2023-08-17,,https://patents.google.com/patent/US20230259771A1/en,https://patentimages.storage.googleapis.com/30/49/6e/ca6c16c6d97c6d/US20230259771A1-20230817-D00000.png
US-11699432-B2,Cross-context natural language model generation ,"Sorcero, Inc.","Walter Bender, Unai Garay Maestre, Carlos Fernandez Musoles, Adam Tomkins",2020-03-23,2021-09-15,2023-07-11,2023-07-11,https://patents.google.com/patent/US11699432B2/en,https://patentimages.storage.googleapis.com/5d/e6/b3/2a9b0459d57ba7/US11699432-20230711-D00000.png
US-7725416-B2,"Method for rule locating, ordering and combining in a polyhierarichical environment ","Novell, Inc.",Duane Buss,2006-12-13,2006-12-13,2010-05-25,2010-05-25,https://patents.google.com/patent/US7725416B2/en,https://patentimages.storage.googleapis.com/2f/f8/69/550cb9c9adfb86/US07725416-20100525-D00000.png
US-2018260474-A1,Methods for extracting and assessing information from literature documents ,Arizona Board Of Regents On Behalf Of The University Of Arizona,"Mihai Surdeanu, Marco A. Valenzuela Escarcega, Gustave Hahn-Powell, Dane Bell, Thomas Hicks, Enrique Noriega, Clayton Morrison",2017-03-13,2018-03-13,2018-09-13,,https://patents.google.com/patent/US20180260474A1/en,https://patentimages.storage.googleapis.com/11/5b/92/c2558eecc33dc7/US20180260474A1-20180913-D00000.png
US-11681925-B2,"Techniques for creating, analyzing, and modifying neural networks ","Vianai Systems, Inc.","Vishal INDER SIKKA, Yoshiki Ohshima",2019-07-08,2019-07-08,2023-06-20,2023-06-20,https://patents.google.com/patent/US11681925B2/en,https://patentimages.storage.googleapis.com/db/93/1d/4f31699ad21d27/US11681925-20230620-D00000.png
US-2022076165-A1,Systems and methods for automating data science machine learning analytical workflows ,"U2 Science Labs, Inc.","Andrew M. Minkin, Mark McNally, William Knight, Stephane Major, Richard Lamoreaux, Leandro Hernandez",2016-12-09,2021-09-20,2022-03-10,,https://patents.google.com/patent/US20220076165A1/en,https://patentimages.storage.googleapis.com/e7/b8/0b/d236c514cd8592/US20220076165A1-20220310-D00000.png
US-11170660-B2,Harvesting question/answer training data from watched hypotheses in a deep QA system ,International Business Machines Corporation,"Charles E. Beller, William G. Dubyak, Palani Sakthi, Kristen M. Summers",2017-09-29,2017-09-29,2021-11-09,2021-11-09,https://patents.google.com/patent/US11170660B2/en,https://patentimages.storage.googleapis.com/3f/bc/41/a40eea4e17b10a/US11170660-20211109-D00000.png
CN-112612902-B,Knowledge graph construction method and device for power grid main equipment ,"国网浙江省电力有限公司电力科学研究院, 国网浙江省电力有限公司","蔺家骏, 李晨, 郑一鸣, 丁敬, 胡俊华, 钱平, 徐宁, 金涌涛, 王劭鹤, 陈孝信, 王绍安, 杨智",2020-12-23,2020-12-23,2023-07-14,2023-07-14,https://patents.google.com/patent/CN112612902B/en,
US-11321364-B2,System and method for analysis and determination of relationships from a variety of data sources ,Kpmg Llp,"John Hyung LEE, James Johnson Gardner, Justin EDWARDS, Gregory Alexander Vorsanger, David Anthony SCRIPKA, Rachel A. WAGNER-KAISER",2017-10-13,2019-12-30,2022-05-03,2022-05-03,https://patents.google.com/patent/US11321364B2/en,https://patentimages.storage.googleapis.com/0b/91/64/9ce063f4f137c1/US11321364-20220503-D00000.png
US-7912801-B2,Method and apparatus to define a ruleflow ,"Red Hat, Inc.","Mark Proctor, Kris Verlaenen",2007-05-31,2007-05-31,2011-03-22,2011-03-22,https://patents.google.com/patent/US7912801B2/en,https://patentimages.storage.googleapis.com/7e/56/af/ff39b679fb854d/US07912801-20110322-D00000.png
