search URL:,https://patents.google.com/?q=G06N20%252f20
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11575693-B1,Composite relationship graph for network security ,Splunk Inc.,"Sudhakar Muddu, Christos Tryfonas, Ravi Prasad Bulusu, Marios Iliofotou",2015-08-31,2020-12-17,2023-02-07,2023-02-07,https://patents.google.com/patent/US11575693B1/en,https://patentimages.storage.googleapis.com/cc/f8/4e/cc381c0a841bcf/US11575693-20230207-D00000.png
US-11126635-B2,Systems and methods for data processing and enterprise AI applications ,"C3.Ai, Inc.","Houman Behzadi, Edward Y. Abbo, Thomas M. Siebel, John Coker, Scott Kurinskas, Thomas Rothwein, David Tchankotadze",2015-01-23,2019-03-21,2021-09-21,2021-09-21,https://patents.google.com/patent/US11126635B2/en,https://patentimages.storage.googleapis.com/b9/75/6b/14cdbde3038464/US11126635-20210921-D00000.png
US-11231705-B2,Methods for data monitoring with changeable routing of input channels ,"Strong Force Iot Portfolio 2016, Llc","Charles Howard Cella, Gerald William Duffy, JR., Jeffrey P. McGuckin, Mehul Desai",2017-08-02,2019-11-21,2022-01-25,2022-01-25,https://patents.google.com/patent/US11231705B2/en,https://patentimages.storage.googleapis.com/9c/57/86/3b9e6fa3c55f19/US11231705-20220125-D00000.png
US-10909681-B2,Automated selection of an optimal image from a series of images ,The Regents Of The University Of California,"Albert Hsiao, Naeim Bahrami, Tara Retson",2019-01-03,2019-01-03,2021-02-02,2021-02-02,https://patents.google.com/patent/US10909681B2/en,https://patentimages.storage.googleapis.com/57/06/e0/24eb939160022b/US10909681-20210202-D00000.png
US-11010667-B2,Dictionary DGA detector model ,"Capital One Services, Llc","Kate Highnam, Domenic Vincent Puzio, Song Luo",2018-08-07,2019-10-15,2021-05-18,2021-05-18,https://patents.google.com/patent/US11010667B2/en,https://patentimages.storage.googleapis.com/bf/7c/e9/b06edcfffa2b13/US11010667-20210518-D00000.png
US-11783375-B2,Customer journey management engine ,Cerebri AI Inc.,"Alain Charles Briancon, Jean Joseph Belanger, James Cvetan Stojanov, Christopher Michael Coovrey, Pranav Mahesh Makhijani, Gregory Klose, Max Changchun Huang, Mounib Mohamad Ismail, Michael Henry Engeling, Hongshi Li",2018-10-19,2022-07-08,2023-10-10,2023-10-10,https://patents.google.com/patent/US11783375B2/en,https://patentimages.storage.googleapis.com/59/36/db/dfb748bd7f6b0a/US11783375-20231010-D00000.png
JP-7345583-B2,Crop type classification in images ,ミネラル アース サイエンシズ エルエルシー,"グオ，チェン－エン, ヤン，ジエ, グラント，エリオット",2018-01-23,2022-03-01,2023-09-15,2023-09-15,https://patents.google.com/patent/JP7345583B2/en,
US-11580261-B2,Automated honeypot creation within a network ,"Capital One Services, Llc","Austin Walters, Jeremy Goodsitt, Vincent Pham, Kate Key",2018-07-06,2021-12-16,2023-02-14,2023-02-14,https://patents.google.com/patent/US11580261B2/en,https://patentimages.storage.googleapis.com/f7/27/f7/f3ae8378814785/US11580261-20230214-D00000.png
AU-2021290303-B2,Semi-supervised learning for training an ensemble of deep convolutional neural networks ,"Illumina, Inc.","Kai-How FARH, Hong Gao, Jeremy Francis Mcrae, Laksshman Sundaram",2017-10-16,2021-12-22,2023-08-24,2023-08-24,https://patents.google.com/patent/AU2021290303B2/en,
US-11782926-B2,Automated provisioning for database performance ,Oracle International Corporation,"Sam Idicula, Tomas Karnagel, Jian Wen, Seema Sundara, Nipun Agarwal, Mayur BENCY",2018-10-18,2022-01-12,2023-10-10,2023-10-10,https://patents.google.com/patent/US11782926B2/en,https://patentimages.storage.googleapis.com/08/4f/63/8e65626077ac41/US11782926-20231010-D00000.png
US-11666210-B2,System for recognizing diabetic retinopathy ,"Shenzhen Sibionics Technology Co., Ltd., Shenzhen Sibright Technology Co., Ltd.","Juan Wang, Bin Xia, Yujing Bai, Xiaoxin LI, Zhigang Hu, Yu Zhao",2017-05-04,2021-11-19,2023-06-06,2023-06-06,https://patents.google.com/patent/US11666210B2/en,https://patentimages.storage.googleapis.com/3d/f3/93/eb9ef017b15246/US11666210-20230606-D00000.png
US-11734686-B2,Automated event processing computing platform for handling and enriching blockchain data ,Bank Of America Corporation,"Jisoo Lee, John C. Checco, William August Stahlhut, Joseph Castinado, Brad Romano, Suki Ramasamy, Patrick N. Lawrence, Lekha Ananthakrishnan",2017-12-07,2021-10-05,2023-08-22,2023-08-22,https://patents.google.com/patent/US11734686B2/en,https://patentimages.storage.googleapis.com/e6/19/ec/b3ebc5a056bfad/US11734686-20230822-D00000.png
US-11663456-B2,On-the-fly deep learning in machine learning at autonomous machines ,Intel Corporation,Raanan Yonatan Yehezkel Rohekar,2017-05-05,2021-08-12,2023-05-30,2023-05-30,https://patents.google.com/patent/US11663456B2/en,https://patentimages.storage.googleapis.com/6d/05/d5/3265bf906acec0/US11663456-20230530-D00000.png
US-11538186-B2,Systems and methods to check-in shoppers in a cashier-less store ,"Standard Cognition, Corp.","Jordan E. Fisher, Warren Green, Daniel L. Fischetti",2017-08-07,2021-07-22,2022-12-27,2022-12-27,https://patents.google.com/patent/US11538186B2/en,https://patentimages.storage.googleapis.com/a9/c8/08/c6005414bfda1c/US11538186-20221227-D00000.png
US-11729180-B2,Automated event processing computing platform for handling and enriching blockchain data ,Bank Of America Corporation,"Jisoo Lee, John C. Checco, William August Stahlhut, Joseph Castinado, Brad Romano, Suki Ramasamy, Patrick Nicholas Lawrence, Lekha Ananthakrishnan",2017-12-07,2021-12-21,2023-08-15,2023-08-15,https://patents.google.com/patent/US11729180B2/en,https://patentimages.storage.googleapis.com/b9/ee/45/f22f2450930549/US11729180-20230815-D00000.png
