search URL:,https://patents.google.com/?q=G06N20%252f20
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11669750-B2,System and/or method for generating clean records from imperfect data using model stack(s) including classification model(s) and confidence model(s) ,"Xeeva, Inc.","Dilip Dubey, Dineshchandra Harikisan Rathi, Koushik Kumaraswamy",2015-12-06,2021-08-23,2023-06-06,2023-06-06,https://patents.google.com/patent/US11669750B2/en,https://patentimages.storage.googleapis.com/29/25/fd/aa8e00bc70f920/US11669750-20230606-D00000.png
US-11693388-B2,Methods and apparatus for machine learning predictions of manufacturing processes ,"Xometry, Inc.","Valerie R. COFFMAN, Mark Wicks, Daniel Wheeler",2017-09-29,2021-08-10,2023-07-04,2023-07-04,https://patents.google.com/patent/US11693388B2/en,https://patentimages.storage.googleapis.com/dd/2f/3c/f018e072604404/US11693388-20230704-D00000.png
US-11406899-B2,Virtual character generation from image or video data ,Electronic Arts Inc.,"John Kolen, Harold Henry Chaput, Navid Aghdaie, Kazi Atif-Uz Zaman, Kenneth Alan Moss",2019-03-27,2021-03-19,2022-08-09,2022-08-09,https://patents.google.com/patent/US11406899B2/en,https://patentimages.storage.googleapis.com/e7/0a/b6/8b6be53ceb7226/US11406899-20220809-D00000.png
US-11552969-B2,"Threat detection platforms for detecting, characterizing, and remediating email-based threats in real time ",Abnormal Security Corporation,"Sanjay Jeyakumar, Jeshua Alexis Bratman, Dmitry Chechik, Abhijit Bagri, Evan Reiser, Sanny Xiao Lang Liao, Yu Zhou Lee, Carlos Daniel Gasperi, Kevin Lau, Kai Jing Jiang, Su Li Debbie Tan, Jeremy Kao, Cheng-Lin Yeh",2018-12-19,2021-10-11,2023-01-10,2023-01-10,https://patents.google.com/patent/US11552969B2/en,https://patentimages.storage.googleapis.com/16/2e/a3/d5fc6fd4075900/US11552969-20230110-D00000.png
US-11768949-B2,Personalized privacy assistant ,Carnegie Mellon University,"Norman Sadeh, Bin Liu, Anupam Das, Martin Degeling, Florian Schaub",2016-07-22,2021-02-02,2023-09-26,2023-09-26,https://patents.google.com/patent/US11768949B2/en,https://patentimages.storage.googleapis.com/98/5c/b1/7ff2740d61480a/US11768949-20230926-D00000.png
US-11571263-B2,Mixed-reality surgical system with physical markers for registration of virtual models ,Howmedica Osteonics Corp.,"Jesse G. Moore, Sergii Poltaretskyi, Jean Chaoui, Damien Cariou",2018-06-19,2020-12-10,2023-02-07,2023-02-07,https://patents.google.com/patent/US11571263B2/en,https://patentimages.storage.googleapis.com/b3/c9/dc/e549eb61237f1e/US11571263-20230207-D00000.png
US-11651240-B2,Object association for autonomous vehicles ,"Uatc, Llc","Carlos Vallespi-Gonzalez, Abhishek Sen, Shivam Gautam",2018-04-30,2021-10-05,2023-05-16,2023-05-16,https://patents.google.com/patent/US11651240B2/en,https://patentimages.storage.googleapis.com/4b/eb/90/d4947b0a2ae8e9/US11651240-20230516-D00000.png
US-11614610-B2,"Systems, devices, and methods for image processing to generate an image having predictive tagging ",Allen Institute,"Gregory Johnson, Chawin OUNKOMOL, Forrest COLLMAN, Sharmishtaa SESHAMANI",2017-08-09,2021-01-13,2023-03-28,2023-03-28,https://patents.google.com/patent/US11614610B2/en,https://patentimages.storage.googleapis.com/35/61/61/cc9a194253e2a4/US11614610-20230328-D00000.png
US-11621865-B2,Systems and methods for automated platform-based algorithm monitoring ,"Pearson Education, Inc.","Stephen Carroll, David Lovejoy, Simcha Knif, Gennadiy Kukartsev",2017-07-21,2021-01-29,2023-04-04,2023-04-04,https://patents.google.com/patent/US11621865B2/en,https://patentimages.storage.googleapis.com/3b/c8/83/683545f678d8ee/US11621865-20230404-D00000.png
US-11544099-B2,Analytic model execution engine with instrumentation for granular performance analysis for metrics and diagnostics for troubleshooting ,"Modelop, Inc.","Stuart Bailey, Matthew Mahowald, Maksym Kharchenko",2017-08-07,2020-10-19,2023-01-03,2023-01-03,https://patents.google.com/patent/US11544099B2/en,https://patentimages.storage.googleapis.com/03/ee/20/3d4ed2edd50d00/US11544099-20230103-D00000.png
US-11462007-B2,System for simplified generation of systems for broad area geospatial object detection ,"Digitalglobe, Inc.","Adam Estrada, Kevin Green, Andrew Jenkins",2015-08-26,2020-10-13,2022-10-04,2022-10-04,https://patents.google.com/patent/US11462007B2/en,https://patentimages.storage.googleapis.com/17/0a/3d/9770bb70a21e05/US11462007-20221004-D00000.png
US-11620455-B2,Intelligently summarizing and presenting textual responses with machine learning ,"Qualtrics, Llc","R. David Norton, Jamie Morningstar, Zheng Fang",2019-02-28,2021-10-04,2023-04-04,2023-04-04,https://patents.google.com/patent/US11620455B2/en,https://patentimages.storage.googleapis.com/61/2c/27/afce71a2a98c8e/US11620455-20230404-D00000.png
US-11694137-B2,Re-training a model for abnormality detection in medical scans based on a re-contrasted training set ,"Enlitic, Inc.","Li Yao, Jordan Prosky, Eric C. Poblenz, Kevin Lyman, Ben Covington, Anthony Upton",2018-11-21,2022-03-25,2023-07-04,2023-07-04,https://patents.google.com/patent/US11694137B2/en,https://patentimages.storage.googleapis.com/42/9e/55/8fe4408d9cab7c/US11694137-20230704-D00000.png
US-11741812-B2,Building risk analysis system with dynamic modification of asset-threat weights ,Johnson Controls Tyco IP Holdings LLP,"Sajjad Pourmohammad, Youngchoon Park",2017-09-27,2022-03-10,2023-08-29,2023-08-29,https://patents.google.com/patent/US11741812B2/en,https://patentimages.storage.googleapis.com/14/02/93/9bef83b8306652/US11741812-20230829-D00000.png
US-11531906-B2,Machine-learning-based processing of de-obfuscated data for data enrichment ,Oracle International Corporation,"Tara U. ROBERTS, Jonathan Stanesby, Michael Pearmain, Kevin Yordy, Karen Sutthakorn",2017-09-29,2020-10-02,2022-12-20,2022-12-20,https://patents.google.com/patent/US11531906B2/en,https://patentimages.storage.googleapis.com/ef/fa/71/45a8297b2482dc/US11531906-20221220-D00000.png
US-11238377-B2,Techniques for integrating segments of code into machine-learning model ,Oracle International Corporation,"Alberto Polleri, Sergio Aldea Lopez, Marc Michiel Bron, Dan David Golding, Alexander Ioannides, Maria del Rosario Mestre, Hugo Alexandre Pereira Monteiro, Oleg Gennadievich Shevelev, Larissa Cristina Dos Santos Romualdo Suzuki, Xiaoxue Zhao, Matthew Charles Rowe",2019-09-14,2020-09-12,2022-02-01,2022-02-01,https://patents.google.com/patent/US11238377B2/en,https://patentimages.storage.googleapis.com/02/e6/19/d5518ef695fcdf/US11238377-20220201-D00000.png
US-11716347-B2,Malicious site detection for a cyber threat response system ,Darktrace Holdings Limited,"John Anthony Boyer, Matthew Dunn",2018-02-20,2020-07-29,2023-08-01,2023-08-01,https://patents.google.com/patent/US11716347B2/en,https://patentimages.storage.googleapis.com/74/dc/32/06c173128431d3/US11716347-20230801-D00000.png
US-11451578-B2,Analyzing encrypted traffic behavior using contextual traffic data ,"Cisco Technology, Inc.","Jan KOHOUT, Blake Harrell Anderson, Martin Grill, David McGrew, Martin Kopp, Tomas Pevny",2016-10-06,2020-09-23,2022-09-20,2022-09-20,https://patents.google.com/patent/US11451578B2/en,https://patentimages.storage.googleapis.com/53/07/c2/6aea327acaf177/US11451578-20220920-D00000.png
US-11768440-B2,Training methods for machine learning assisted optical proximity error correction ,Asml Netherlands B.V.,"Jing Su, Yen-Wen Lu, Ya Luo",2017-09-08,2022-12-27,2023-09-26,2023-09-26,https://patents.google.com/patent/US11768440B2/en,https://patentimages.storage.googleapis.com/43/f2/5f/b944a39b8d388d/US11768440-20230926-D00000.png
US-11714968-B2,Identifying data of interest using machine learning ,"American Express Travel Related Services Company, Inc.","Ravi Batra, Sandeep Bose, Mario Fragoso, Ravneet Ghuman, Madhu Sudan Reddy Gudur, Suraj Madnani, Curtis T. Merryweather, Ravi Varma, Vinod Yadav",2018-12-11,2022-02-24,2023-08-01,2023-08-01,https://patents.google.com/patent/US11714968B2/en,https://patentimages.storage.googleapis.com/0a/19/2f/7124ac562af51c/US11714968-20230801-D00000.png
US-11010671-B2,Iterative training of a nodal network with data influence weights ,D5Ai Llc,"James K. Baker, Bradley J. Baker",2018-01-30,2020-07-15,2021-05-18,2021-05-18,https://patents.google.com/patent/US11010671B2/en,https://patentimages.storage.googleapis.com/68/5c/21/fed6203e75186a/US11010671-20210518-D00000.png
US-11386075-B2,"Methods for detecting and interpreting data anomalies, and related systems and devices ","DataRobot, Inc.","Amanda Claire Schierz, Jeremy Achin, Zachary Albert Mayer",2018-12-13,2020-11-06,2022-07-12,2022-07-12,https://patents.google.com/patent/US11386075B2/en,https://patentimages.storage.googleapis.com/43/7d/41/10c918081ca8cb/US11386075-20220712-D00000.png
US-11151890-B2,5th-generation (5G) interactive distance dedicated teaching system based on holographic terminal and method for operating same ,Central South Normal University,"Zongkai YANG, Zheng Zhong, Di Wu, Ke Wu",2020-12-30,2021-04-07,2021-10-19,2021-10-19,https://patents.google.com/patent/US11151890B2/en,https://patentimages.storage.googleapis.com/b6/a5/95/547030f3d4b039/US11151890-20211019-D00000.png
US-11663827-B2,Generating a video segment of an action from a video ,Google Llc,"Sudheendra Vijayanarasimhan, Alexis Bienvenu, David Ross, Timothy NOVIKOFF, Arvind Balasubramanian",2017-10-12,2022-07-13,2023-05-30,2023-05-30,https://patents.google.com/patent/US11663827B2/en,https://patentimages.storage.googleapis.com/a5/75/b4/be75d6e371276a/US11663827-20230530-D00000.png
US-11610681-B2,Method and apparatus for predicting response to food ,Yeda Research And Development Co. Ltd.,"Eran Segal, Eran Elinav",2014-04-28,2021-01-18,2023-03-21,2023-03-21,https://patents.google.com/patent/US11610681B2/en,https://patentimages.storage.googleapis.com/c0/7b/d8/938a7536296b9b/US11610681-20230321-D00000.png
US-11386601-B2,Processing user selectable product images and facilitating visualization-assisted virtual dressing ,Zeekit Online Shopping Ltd.,"Alon Kristal, Nir Appleboim, Yael Wiesel, Israel Harry Zimmerman",2016-08-10,2020-06-29,2022-07-12,2022-07-12,https://patents.google.com/patent/US11386601B2/en,https://patentimages.storage.googleapis.com/c2/9e/eb/c9ff1f566bd532/US11386601-20220712-D00000.png
US-11334635-B2,Domain specific natural language understanding of customer intent in self-help ,"Intuit, Inc.","Madelaine DAIANU, Yao Morin, Jonathan LUNT, Joseph B. Cessna",2017-12-15,2020-04-22,2022-05-17,2022-05-17,https://patents.google.com/patent/US11334635B2/en,https://patentimages.storage.googleapis.com/26/34/d6/832fa17d1b3e9c/US11334635-20220517-D00000.png
US-11307570-B2,Machine learning based predictive maintenance of equipment ,"Panasonic Intellectual Property Management Co., Ltd.","Hai Anh Trinh, Christopher T. Nguyen, The Vinh Luong, Taejin Chun",2019-05-31,2020-05-29,2022-04-19,2022-04-19,https://patents.google.com/patent/US11307570B2/en,https://patentimages.storage.googleapis.com/55/f8/24/4eab8492aa9244/US11307570-20220419-D00000.png
US-11120336-B2,Anomaly detection independent of a normal pattern of input data ,"MakinaRocks Co., Ltd.","Andre S. Yoon, Yongsub LIM, Sangwoo Shim",2018-07-11,2020-09-10,2021-09-14,2021-09-14,https://patents.google.com/patent/US11120336B2/en,https://patentimages.storage.googleapis.com/97/39/d8/0f6e7f0187016f/US11120336-20210914-D00000.png
KR-102480192-B1,Medical machine synthetic data and corresponding event generation ,쥐이 프리시즌 헬스케어 엘엘씨,"소니 라비, 장 민, 비. 아비나쉬 고파이, 라트남 사리팔리 벤카타, 구안 지아후이, 파티 디비야지오티, 마 질리",2019-04-24,2020-04-19,2022-12-21,2022-12-21,https://patents.google.com/patent/KR102480192B1/en,https://patentimages.storage.googleapis.com/79/4e/4b/096df1ac618920/112020040082831-pat00003.png
US-11423337-B2,Training distilled machine learning models ,Google Llc,"Oriol Vinyals, Jeffrey Adgate Dean, Geoffrey E. Hinton",2014-06-06,2020-04-07,2022-08-23,2022-08-23,https://patents.google.com/patent/US11423337B2/en,https://patentimages.storage.googleapis.com/e4/e2/92/af7a2dc1c97c32/US11423337-20220823-D00000.png
US-11610665-B2,Method and system for preference-driven food personalization ,Kraft Foods Group Brands Llc,"Tjarko Leifer, Erik Andrejko, Sivan Aldor-Noiman",2018-01-25,2020-06-12,2023-03-21,2023-03-21,https://patents.google.com/patent/US11610665B2/en,https://patentimages.storage.googleapis.com/88/76/1d/45836a863261e3/US11610665-20230321-D00000.png
US-11599689-B2,"Methods and apparatus for automatically defining computer-aided design files using machine learning, image analytics, and/or computer vision ","Airworks Solutions, Inc.","David MORCZINEK, Maxim DOUBENSKI, Adam KERSNOWSKI, Mirela PETKOVA, Nikhil SHINDAY",2017-11-02,2020-06-10,2023-03-07,2023-03-07,https://patents.google.com/patent/US11599689B2/en,https://patentimages.storage.googleapis.com/86/7c/d9/582cf9e2d51f11/US11599689-20230307-D00000.png
US-11599549-B2,Sampling-based preview mode for a data intake and query system ,Splunk Inc.,Ram Sriharsha,2019-10-18,2020-01-31,2023-03-07,2023-03-07,https://patents.google.com/patent/US11599549B2/en,https://patentimages.storage.googleapis.com/b4/02/61/6594c22a6a4e28/US11599549-20230307-D00000.png
US-11745736-B2,System and method for vehicle occlusion detection ,"Tusimple, Inc.","Hongkai YU, Zhipeng Yan, Panqu Wang, Pengfei Chen",2017-08-31,2020-08-28,2023-09-05,2023-09-05,https://patents.google.com/patent/US11745736B2/en,https://patentimages.storage.googleapis.com/bd/25/fb/a6c02bd7299a33/US11745736-20230905-D00000.png
US-10902944-B1,"Patient-specific medical procedures and devices, and associated systems and methods ","Carlsmed, Inc.","Niall Patrick Casey, Michael J. Cordonnier, Justin Esterberg, Jeffrey Roh",2020-01-06,2020-01-06,2021-01-26,2021-01-26,https://patents.google.com/patent/US10902944B1/en,https://patentimages.storage.googleapis.com/d1/01/86/ceda334be6216e/US10902944-20210126-D00000.png
US-11321774-B2,Risk-based machine learning classifier ,"Pointpredictive, Inc.","Frank J. McKenna, Timothy J. Grace, Gregory Gancarz, Michael J. Kennedy",2018-01-30,2020-01-31,2022-05-03,2022-05-03,https://patents.google.com/patent/US11321774B2/en,https://patentimages.storage.googleapis.com/d1/fa/62/5e8499f69f2916/US11321774-20220503-D00000.png
US-11294388-B2,Machine learning enhanced vehicle merging ,Toyota Jidosha Kabushiki Kaisha,"Hao Yang, Rui Guo, Kentaro Oguchi, Liu Liu",2018-04-09,2020-05-01,2022-04-05,2022-04-05,https://patents.google.com/patent/US11294388B2/en,https://patentimages.storage.googleapis.com/84/36/ec/2bbbbd77bd413c/US11294388-20220405-D00000.png
US-11640449-B2,System and method for effectuating user access control ,"Cambrian Designs, Inc.","Olaf Jonny Groth, Mark Jay Nitzberg, Manu Kalia, Tobias Christopher Straube, Daniel Zehr",2019-12-20,2020-12-19,2023-05-02,2023-05-02,https://patents.google.com/patent/US11640449B2/en,https://patentimages.storage.googleapis.com/c9/46/64/722ac44b141ba3/US11640449-20230502-D00000.png
US-11175653-B2,Systems for data collection and storage including network evaluation and data storage profiles ,"Strong Force Iot Portfolio 2016, Llc","Charles Howard Cella, Gerald William Duffy, JR., Jeffrey P. McGuckin, Mehul Desai",2017-08-02,2019-11-21,2021-11-16,2021-11-16,https://patents.google.com/patent/US11175653B2/en,https://patentimages.storage.googleapis.com/46/2a/15/1e3623a0cf0b70/US11175653-20211116-D00000.png
US-11727333-B2,Endpoint with remotely programmable data recorder ,Sophos Limited,"Beata Ladnai, Mark David Harris, Andrew G. P. Smith, Kenneth D. Ray, Andrew J. Thomas, Russell Humphries",2018-08-31,2022-03-28,2023-08-15,2023-08-15,https://patents.google.com/patent/US11727333B2/en,https://patentimages.storage.googleapis.com/b0/65/b8/56ad9c3dd0d139/US11727333-20230815-D00000.png
US-11614306-B2,Target analysis and recommendation ,Philip Lyren,Philip Lyren,2014-11-26,2022-04-24,2023-03-28,2023-03-28,https://patents.google.com/patent/US11614306B2/en,https://patentimages.storage.googleapis.com/8c/76/66/29c8d48c7e492b/US11614306-20230328-D00000.png
US-11195520-B2,Always-on keyword detector ,Syntiant,"Kurt F. Busch, Jeremiah H. Holleman, III, Pieter Vorenkamp, Stephen W. Bailey",2017-12-28,2019-12-03,2021-12-07,2021-12-07,https://patents.google.com/patent/US11195520B2/en,https://patentimages.storage.googleapis.com/6a/27/bd/47c9b955ee3001/US11195520-20211207-D00000.png
US-11777957-B2,Method for detecting malicious attacks based on deep learning in traffic cyber physical system ,Hangzhou Dianzi University,"Yuanfang CHEN, Ting Wu, Hengli YUE, Chengnan HU",2018-01-23,2019-12-04,2023-10-03,2023-10-03,https://patents.google.com/patent/US11777957B2/en,https://patentimages.storage.googleapis.com/29/5a/35/9279362a1f8968/US11777957-20231003-D00000.png
US-11663523-B2,Machine learning (ML) infrastructure techniques ,Oracle International Corporation,"Alberto Polleri, Sergio Aldea Lopez, Marc Michiel Bron, Dan David Golding, Alexander Ioannides, Maria del Rosario Mestre, Hugo Alexandre Pereira Monteiro, Oleg Gennadievich Shevelev, Larissa Cristina Dos Santos Romualdo Suzuki, Xiaoxue Zhao, Matthew Charles Rowe",2019-09-14,2020-06-04,2023-05-30,2023-05-30,https://patents.google.com/patent/US11663523B2/en,https://patentimages.storage.googleapis.com/be/6f/a5/86d07453036d45/US11663523-20230530-D00000.png
US-11488070-B2,Iterative classifier training on online social networks ,"Meta Platforms, Inc.",Mark Andrew Rich,2014-12-01,2019-12-11,2022-11-01,2022-11-01,https://patents.google.com/patent/US11488070B2/en,https://patentimages.storage.googleapis.com/67/e5/27/ebe8572141b474/US11488070-20221101-D00000.png
US-11494937-B2,Multi-task multi-sensor fusion for three-dimensional object detection ,"Uatc, Llc","Raquel Urtasun, Bin Yang, Ming Liang",2018-11-16,2019-10-16,2022-11-08,2022-11-08,https://patents.google.com/patent/US11494937B2/en,https://patentimages.storage.googleapis.com/a6/80/0e/130f4a821aebf5/US11494937-20221108-D00000.png
US-11100247-B2,Differentially private processing and database storage ,"LeapYear Technologies, Inc.","Ishaan Nerurkar, Christopher Hockenbrocht, Liam Damewood, Mihai Maruseac, Alexander Rozenshteyn",2015-11-02,2020-03-05,2021-08-24,2021-08-24,https://patents.google.com/patent/US11100247B2/en,https://patentimages.storage.googleapis.com/01/5b/06/f06e4f08f4a5b8/US11100247-20210824-D00000.png
US-11165806-B2,Anomaly detection using cognitive computing ,International Business Machines Corporation,"Sharon Hagi, Gary I. Givental",2017-11-13,2020-01-08,2021-11-02,2021-11-02,https://patents.google.com/patent/US11165806B2/en,https://patentimages.storage.googleapis.com/e0/bd/1b/3d0616b349d53d/US11165806-20211102-D00000.png
US-11315688-B2,Methods and systems for an artificial intelligence alimentary professional support network for vibrant constitutional guidance ,"Kpn Innovations, Llc.",Kenneth Neumann,2019-04-02,2020-03-20,2022-04-26,2022-04-26,https://patents.google.com/patent/US11315688B2/en,https://patentimages.storage.googleapis.com/f2/4b/83/6801537b36a894/US11315688-20220426-D00000.png
US-11699507-B2,"Method and process for predicting and analyzing patient cohort response, progression, and survival ","Tempus Labs, Inc.","Hailey Lefkofsky, Ashraf Hafez, Julian Habib, Carin Fishel, Caroline Epstein",2018-12-31,2021-07-22,2023-07-11,2023-07-11,https://patents.google.com/patent/US11699507B2/en,https://patentimages.storage.googleapis.com/09/ed/30/90cd2cb4196b08/US11699507-20230711-D00000.png
US-11538143-B2,Fully convolutional transformer based generative adversarial networks ,Nec Corporation,"Dongjin Song, Yuncong Chen, Haifeng Chen, Xinyang Feng",2018-10-26,2019-10-24,2022-12-27,2022-12-27,https://patents.google.com/patent/US11538143B2/en,https://patentimages.storage.googleapis.com/d8/25/fd/f76ec78e666552/US11538143-20221227-D00000.png
US-11455284-B2,Method and system for adaptively imputing sparse and missing data for predictive models ,Oracle International Corporation,"Michael Zoll, Yaser I. Suleiman, Subhransu Basu, Angelo Pruscino, Wolfgang Lohwasser, Wataru MIYOSHI, Thomas BREIDT, Thomas Herter, Klaus Thielen, Sahil KUMAR",2016-09-16,2019-09-09,2022-09-27,2022-09-27,https://patents.google.com/patent/US11455284B2/en,https://patentimages.storage.googleapis.com/02/6a/b5/5a67830af3bce9/US11455284-20220927-D00000.png
US-11514293-B2,Future object trajectory predictions for autonomous machine applications ,Nvidia Corporation,"Ruben Villegas, Alejandro Troccoli, Iuri Frosio, Stephen Tyree, Wonmin Byeon, Jan Kautz",2018-09-11,2019-09-09,2022-11-29,2022-11-29,https://patents.google.com/patent/US11514293B2/en,https://patentimages.storage.googleapis.com/0a/0a/97/4d9d2fc467fe1a/US11514293-20221129-D00000.png
US-11170433-B2,Method and system for using machine learning techniques to make highly relevant and de-duplicated offer recommendations ,Intuit Inc.,"Yao H. Morin, James Jennings, Christian A. Rodriguez, Lei Pei, Jyotiswarup Pai Raiturkar",2018-01-09,2020-06-25,2021-11-09,2021-11-09,https://patents.google.com/patent/US11170433B2/en,https://patentimages.storage.googleapis.com/24/c7/fa/aa121f29f4a8f6/US11170433-20211109-D00000.png
US-11520077-B2,Automated reservoir modeling using deep generative networks ,Exxonmobil Upstream Research Company,"Huseyin Denli, Cody J. Macdonald, Victoria M. SOM DE CERFF",2018-12-11,2019-11-15,2022-12-06,2022-12-06,https://patents.google.com/patent/US11520077B2/en,https://patentimages.storage.googleapis.com/03/55/85/996cd26217a823/US11520077-20221206-D00000.png
US-11100435-B2,Machine learning artificial intelligence system for predicting hours of operation ,"Capital One Services, Llc","Ashish Bansal, Jonathan STAHLMAN",2017-04-20,2020-03-12,2021-08-24,2021-08-24,https://patents.google.com/patent/US11100435B2/en,https://patentimages.storage.googleapis.com/df/ba/be/271b3b0a539aa9/US11100435-20210824-D00000.png
US-11323884-B2,"System, device, and method of detecting, mitigating and isolating a signaling storm ",Allot Ltd.,"Boris Lifshitz, Itai Weissman, Itai Ephraim Zilbershtein, Nimrod Dezent",2017-06-27,2019-08-20,2022-05-03,2022-05-03,https://patents.google.com/patent/US11323884B2/en,https://patentimages.storage.googleapis.com/1a/82/18/0adb7489a02f06/US11323884-20220503-D00000.png
US-10699218-B2,Energy analytics learning machine ,Akw Analytics Inc.,"Roger N. Anderson, Boyi Xie, Leon L. Wu, Arthur Kressner",2016-06-15,2019-08-12,2020-06-30,2020-06-30,https://patents.google.com/patent/US10699218B2/en,https://patentimages.storage.googleapis.com/4d/78/14/e5f113586864da/US10699218-20200630-D00000.png
