classification
G06F3/0414
H04M1/72403
G06F2203/04101
H04M1/725
H04M1/72436
G06F2203/04104
G06F3/0445
G06F3/0416
G06F3/0443
G06F3/044
G06F3/04886
G06F3/04883
G06F3/04166
G06F2203/04105
G06F3/14
G06F3/0488
G06F3/0412
G02F1/13338
G06F3/0446
G06F3/0414
H04M1/72403
G06F2203/04101
H04M1/725
H04M1/72436
G06F2203/04104
G06F3/0445
G06F3/0416
G06F3/0443
G06F3/044
G06F3/04886
G06F3/04883
G06F3/04166
G06F2203/04105
G06F3/14
G06F3/0488
G06F3/0412
G02F1/13338
G06F3/0446
B60R25/00
G05D23/1917
H04L63/0428
G08G1/096725
G06Q30/0639
G07C5/08
G06F3/0445
G08G1/207
G01C21/3484
G06F3/04842
G06F3/0482
H04W36/34
H04W48/04
G06F3/0622
H04W4/021
G06Q20/384
A61B5/7405
B60W2050/0085
G05D1/0276
G06F3/013
G09G2380/10
A61B5/6808
B60K2370/15
G05D1/0016
G08B21/0205
G08G1/096805
Y02A90/10
G06Q30/0633
G06V20/593
B60W2050/0067
G06F2203/04105
G08B21/06
G06F3/0488
G06F3/017
B60K2370/11
G05D1/021
G08G1/096844
G08G1/096741
H04W4/70
H04N21/64322
B60Q1/52
G06V40/16
B60R25/1004
G06V20/59
A61B7/04
G08G1/096811
H04M1/72436
H04L67/306
H04L67/10
B60K2370/146
H04L63/102
G06V40/15
G06F3/0416
B60R25/01
G06F16/183
A61B5/742
G06F3/0443
G06F16/25
G06F3/0481
G07C5/0833
B60H1/00742
H04N21/25816
H04W4/21
G06F3/04886
H04N21/41422
H04W76/19
G06F3/14
B60R11/04
G06Q30/0641
H04W76/11
H04W84/18
A61B2503/04
H04N21/6408
G06F16/252
H04W12/68
H04N21/454
G07C5/0825
H04W4/60
G06Q10/00
G06F3/0412
H04W4/12
G08B29/188
H04W84/005
G06Q20/321
G06F16/24575
H04N21/2265
G06Q30/0645
G08B21/18
G06F3/0414
H04N21/2225
G06F2203/04101
H04M1/725
G06F16/583
H04L67/12
B60C1/00
G06V40/28
H04L67/55
G06F2203/04104
B60R25/25
G01C21/3697
G06Q30/0265
H05K999/99
B60R25/2081
A61B5/4809
G06Q20/308
G06F16/951
G06Q20/386
G06F21/31
G08G1/01
G08B13/19647
G06V40/172
G08B25/016
A61B5/0077
B60W50/10
G01C21/3691
G06Q30/0266
H04W4/40
G07C9/00563
G06F3/0637
G06F9/451
B60Q9/00
H04W36/0005
H05K999/00
H04L63/0236
B60N2/0244
G06Q10/20
G01S19/42
B60K35/00
H04L67/34
G08G1/0968
H04M1/72403
G06Q30/012
H04W12/088
G06Q50/30
G06Q30/00
G08G1/096775
H04W12/06
H04L51/02
H04W4/30
G08G1/164
G02B27/0093
G09G5/37
G06F2203/04803
G01C21/365
G06F3/044
G06F3/0673
G06F3/04883
H04N7/181
B60Q1/544
G06F3/04166
G01C21/3667
G06F21/00
B60K2370/52
G06V40/20
